# country	date	holiday
AT	2019-01-01	holiday
AT	2019-01-06	holiday
AT	2019-04-22	holiday
AT	2019-05-01	holiday
AT	2019-05-30	holiday
AT	2019-06-10	holiday
AT	2019-06-20	holiday
AT	2019-08-15	holiday
AT	2019-10-26	holiday
AT	2019-11-01	holiday
AT	2019-12-08	holiday
AT	2019-12-25	holiday
AT	2019-12-26	holiday
AT	2020-01-01	holiday
AT	2020-01-06	holiday
AT	2020-04-13	holiday
AT	2020-05-01	holiday
AT	2020-05-21	holiday
AT	2020-06-01	holiday
AT	2020-06-11	holiday
AT	2020-08-15	holiday
AT	2020-10-26	holiday
AT	2020-11-01	holiday
AT	2020-12-08	holiday
AT	2020-12-25	holiday
AT	2020-12-26	holiday
AT	2021-01-01	holiday
AT	2021-01-06	holiday
AT	2021-04-05	holiday
AT	2021-05-01	holiday
AT	2021-05-13	holiday
AT	2021-05-24	holiday
AT	2021-06-03	holiday
AT	2021-08-15	holiday
AT	2021-10-26	holiday
AT	2021-11-01	holiday
AT	2021-12-08	holiday
AT	2021-12-25	holiday
AT	2021-12-26	holiday
AT	2022-01-01	holiday
AT	2022-01-06	holiday
AT	2022-04-18	holiday
AT	2022-05-01	holiday
AT	2022-05-26	holiday
AT	2022-06-06	holiday
AT	2022-06-16	holiday
AT	2022-08-15	holiday
AT	2022-10-26	holiday
AT	2022-11-01	holiday
AT	2022-12-08	holiday
AT	2022-12-25	holiday
AT	2022-12-26	holiday
AT	2023-01-01	holiday
AT	2023-01-06	holiday
AT	2023-04-10	holiday
AT	2023-05-01	holiday
AT	2023-05-18	holiday
AT	2023-05-29	holiday
AT	2023-06-08	holiday
AT	2023-08-15	holiday
AT	2023-10-26	holiday
AT	2023-11-01	holiday
AT	2023-12-08	holiday
AT	2023-12-25	holiday
AT	2023-12-26	holiday
AT	2024-01-01	holiday
AT	2024-01-06	holiday
AT	2024-04-01	holiday
AT	2024-05-01	holiday
AT	2024-05-09	holiday
AT	2024-05-20	holiday
AT	2024-05-30	holiday
AT	2024-08-15	holiday
AT	2024-10-26	holiday
AT	2024-11-01	holiday
AT	2024-12-08	holiday
AT	2024-12-25	holiday
AT	2024-12-26	holiday
AT	2025-01-01	holiday
AT	2025-01-06	holiday
AT	2025-04-21	holiday
AT	2025-05-01	holiday
AT	2025-05-29	holiday
AT	2025-06-09	holiday
AT	2025-06-19	holiday
AT	2025-08-15	holiday
AT	2025-10-26	holiday
AT	2025-11-01	holiday
AT	2025-12-08	holiday
AT	2025-12-25	holiday
AT	2025-12-26	holiday
AT	2026-01-01	holiday
AT	2026-01-06	holiday
AT	2026-04-06	holiday
AT	2026-05-01	holiday
AT	2026-05-14	holiday
AT	2026-05-25	holiday
AT	2026-06-04	holiday
AT	2026-08-15	holiday
AT	2026-10-26	holiday
AT	2026-11-01	holiday
AT	2026-12-08	holiday
AT	2026-12-25	holiday
AT	2026-12-26	holiday
AT	2027-01-01	holiday
AT	2027-01-06	holiday
AT	2027-03-29	holiday
AT	2027-05-01	holiday
AT	2027-05-06	holiday
AT	2027-05-17	holiday
AT	2027-05-27	holiday
AT	2027-08-15	holiday
AT	2027-10-26	holiday
AT	2027-11-01	holiday
AT	2027-12-08	holiday
AT	2027-12-25	holiday
AT	2027-12-26	holiday
AT	2028-01-01	holiday
AT	2028-01-06	holiday
AT	2028-04-17	holiday
AT	2028-05-01	holiday
AT	2028-05-25	holiday
AT	2028-06-05	holiday
AT	2028-06-15	holiday
AT	2028-08-15	holiday
AT	2028-10-26	holiday
AT	2028-11-01	holiday
AT	2028-12-08	holiday
AT	2028-12-25	holiday
AT	2028-12-26	holiday
AT	2029-01-01	holiday
AT	2029-01-06	holiday
AT	2029-04-02	holiday
AT	2029-05-01	holiday
AT	2029-05-10	holiday
AT	2029-05-21	holiday
AT	2029-05-31	holiday
AT	2029-08-15	holiday
AT	2029-10-26	holiday
AT	2029-11-01	holiday
AT	2029-12-08	holiday
AT	2029-12-25	holiday
AT	2029-12-26	holiday
AT	2030-01-01	holiday
AT	2030-01-06	holiday
AT	2030-04-22	holiday
AT	2030-05-01	holiday
AT	2030-05-30	holiday
AT	2030-06-10	holiday
AT	2030-06-20	holiday
AT	2030-08-15	holiday
AT	2030-10-26	holiday
AT	2030-11-01	holiday
AT	2030-12-08	holiday
AT	2030-12-25	holiday
AT	2030-12-26	holiday
AT	2031-01-01	holiday
AT	2031-01-06	holiday
AT	2031-04-14	holiday
AT	2031-05-01	holiday
AT	2031-05-22	holiday
AT	2031-06-02	holiday
AT	2031-06-12	holiday
AT	2031-08-15	holiday
AT	2031-10-26	holiday
AT	2031-11-01	holiday
AT	2031-12-08	holiday
AT	2031-12-25	holiday
AT	2031-12-26	holiday
AT	2032-01-01	holiday
AT	2032-01-06	holiday
AT	2032-03-29	holiday
AT	2032-05-01	holiday
AT	2032-05-06	holiday
AT	2032-05-17	holiday
AT	2032-05-27	holiday
AT	2032-08-15	holiday
AT	2032-10-26	holiday
AT	2032-11-01	holiday
AT	2032-12-08	holiday
AT	2032-12-25	holiday
AT	2032-12-26	holiday
AT	2033-01-01	holiday
AT	2033-01-06	holiday
AT	2033-04-18	holiday
AT	2033-05-01	holiday
AT	2033-05-26	holiday
AT	2033-06-06	holiday
AT	2033-06-16	holiday
AT	2033-08-15	holiday
AT	2033-10-26	holiday
AT	2033-11-01	holiday
AT	2033-12-08	holiday
AT	2033-12-25	holiday
AT	2033-12-26	holiday
AT	2034-01-01	holiday
AT	2034-01-06	holiday
AT	2034-04-10	holiday
AT	2034-05-01	holiday
AT	2034-05-18	holiday
AT	2034-05-29	holiday
AT	2034-06-08	holiday
AT	2034-08-15	holiday
AT	2034-10-26	holiday
AT	2034-11-01	holiday
AT	2034-12-08	holiday
AT	2034-12-25	holiday
AT	2034-12-26	holiday
AT	2035-01-01	holiday
AT	2035-01-06	holiday
AT	2035-03-26	holiday
AT	2035-05-01	holiday
AT	2035-05-03	holiday
AT	2035-05-14	holiday
AT	2035-05-24	holiday
AT	2035-08-15	holiday
AT	2035-10-26	holiday
AT	2035-11-01	holiday
AT	2035-12-08	holiday
AT	2035-12-25	holiday
AT	2035-12-26	holiday
AU	2019-01-01	holiday
AU	2019-01-26	holiday
AU	2019-04-19	holiday
AU	2019-04-22	holiday
AU	2019-04-25	holiday
AU	2019-12-25	holiday
AU	2019-12-26	holiday
AU	2020-01-01	holiday
AU	2020-01-26	holiday
AU	2020-04-10	holiday
AU	2020-04-13	holiday
AU	2020-04-25	holiday
AU	2020-12-25	holiday
AU	2020-12-26	holiday
AU	2021-01-01	holiday
AU	2021-01-26	holiday
AU	2021-04-02	holiday
AU	2021-04-05	holiday
AU	2021-04-25	holiday
AU	2021-12-25	holiday
AU	2021-12-26	holiday
AU	2022-01-01	holiday
AU	2022-01-26	holiday
AU	2022-04-15	holiday
AU	2022-04-18	holiday
AU	2022-04-25	holiday
AU	2022-12-25	holiday
AU	2022-12-26	holiday
AU	2023-01-01	holiday
AU	2023-01-26	holiday
AU	2023-04-07	holiday
AU	2023-04-10	holiday
AU	2023-04-25	holiday
AU	2023-12-25	holiday
AU	2023-12-26	holiday
AU	2024-01-01	holiday
AU	2024-01-26	holiday
AU	2024-03-29	holiday
AU	2024-04-01	holiday
AU	2024-04-25	holiday
AU	2024-12-25	holiday
AU	2024-12-26	holiday
AU	2025-01-01	holiday
AU	2025-01-26	holiday
AU	2025-04-18	holiday
AU	2025-04-21	holiday
AU	2025-04-25	holiday
AU	2025-12-25	holiday
AU	2025-12-26	holiday
AU	2026-01-01	holiday
AU	2026-01-26	holiday
AU	2026-04-03	holiday
AU	2026-04-06	holiday
AU	2026-04-25	holiday
AU	2026-12-25	holiday
AU	2026-12-26	holiday
AU	2027-01-01	holiday
AU	2027-01-26	holiday
AU	2027-03-26	holiday
AU	2027-03-29	holiday
AU	2027-04-25	holiday
AU	2027-12-25	holiday
AU	2027-12-26	holiday
AU	2028-01-01	holiday
AU	2028-01-26	holiday
AU	2028-04-14	holiday
AU	2028-04-17	holiday
AU	2028-04-25	holiday
AU	2028-12-25	holiday
AU	2028-12-26	holiday
AU	2029-01-01	holiday
AU	2029-01-26	holiday
AU	2029-03-30	holiday
AU	2029-04-02	holiday
AU	2029-04-25	holiday
AU	2029-12-25	holiday
AU	2029-12-26	holiday
AU	2030-01-01	holiday
AU	2030-01-26	holiday
AU	2030-04-19	holiday
AU	2030-04-22	holiday
AU	2030-04-25	holiday
AU	2030-12-25	holiday
AU	2030-12-26	holiday
AU	2031-01-01	holiday
AU	2031-01-26	holiday
AU	2031-04-11	holiday
AU	2031-04-14	holiday
AU	2031-04-25	holiday
AU	2031-12-25	holiday
AU	2031-12-26	holiday
AU	2032-01-01	holiday
AU	2032-01-26	holiday
AU	2032-03-26	holiday
AU	2032-03-29	holiday
AU	2032-04-25	holiday
AU	2032-12-25	holiday
AU	2032-12-26	holiday
AU	2033-01-01	holiday
AU	2033-01-26	holiday
AU	2033-04-15	holiday
AU	2033-04-18	holiday
AU	2033-04-25	holiday
AU	2033-12-25	holiday
AU	2033-12-26	holiday
AU	2034-01-01	holiday
AU	2034-01-26	holiday
AU	2034-04-07	holiday
AU	2034-04-10	holiday
AU	2034-04-25	holiday
AU	2034-12-25	holiday
AU	2034-12-26	holiday
AU	2035-01-01	holiday
AU	2035-01-26	holiday
AU	2035-03-23	holiday
AU	2035-03-26	holiday
AU	2035-04-25	holiday
AU	2035-12-25	holiday
AU	2035-12-26	holiday
BE	2019-01-01	holiday
BE	2019-04-22	holiday
BE	2019-05-01	holiday
BE	2019-05-30	holiday
BE	2019-06-10	holiday
BE	2019-07-21	holiday
BE	2019-08-15	holiday
BE	2019-11-01	holiday
BE	2019-11-11	holiday
BE	2019-12-25	holiday
BE	2020-01-01	holiday
BE	2020-04-13	holiday
BE	2020-05-01	holiday
BE	2020-05-21	holiday
BE	2020-06-01	holiday
BE	2020-07-21	holiday
BE	2020-08-15	holiday
BE	2020-11-01	holiday
BE	2020-11-11	holiday
BE	2020-12-25	holiday
BE	2021-01-01	holiday
BE	2021-04-05	holiday
BE	2021-05-01	holiday
BE	2021-05-13	holiday
BE	2021-05-24	holiday
BE	2021-07-21	holiday
BE	2021-08-15	holiday
BE	2021-11-01	holiday
BE	2021-11-11	holiday
BE	2021-12-25	holiday
BE	2022-01-01	holiday
BE	2022-04-18	holiday
BE	2022-05-01	holiday
BE	2022-05-26	holiday
BE	2022-06-06	holiday
BE	2022-07-21	holiday
BE	2022-08-15	holiday
BE	2022-11-01	holiday
